relation,relation_key,scan_value,seed,seed_index,particle_count_n,box_length_l,volume_v,inverse_volume_1_per_v,target_temperature,equilibrium_time_s,stats_duration_s,dt_s,thermostat_frequency_nu,wall_momentum_mean_pressure,ideal_reference_mean_pressure,pressure_relative_gap_percent,mean_temperature,pressure_window_count,final_temperature,final_mean_speed,final_rms_speed
P-1/V,pv,15,ideal-gas-seed-04-pv-03,4,128,15,3375,0.000296296296,0.6,6,20,0.01,0.8,0.0220005028,0.0227801188,-3.42235294,0.6006476646,200,0.5632070651,1.2110356614,1.2998542977
P-1/V,pv,15,ideal-gas-seed-05-pv-03,5,128,15,3375,0.000296296296,0.6,6,20,0.01,0.8,0.02482319,0.0231800669,7.08851767,0.6111931696,200,0.615237544,1.2507350587,1.3585700688
P-1/V,pv,17,ideal-gas-seed-01-pv-04,1,128,17,4913,0.000203541624,0.6,6,20,0.01,0.8,0.0161762372,0.0154793877,4.50178976,0.5941424362,200,0.6016867298,1.2269300421,1.3435252842
P-1/V,pv,17,ideal-gas-seed-02-pv-04,2,128,17,4913,0.000203541624,0.6,6,20,0.01,0.8,0.0157740353,0.0154062103,2.38751148,0.5913336802,200,0.5663454205,1.2023907385,1.3034708518
P-1/V,pv,17,ideal-gas-seed-03-pv-04,3,128,17,4913,0.000203541624,0.6,6,20,0.01,0.8,0.0157240617,0.0152405712,3.17239091,0.5849759881,200,0.6583492024,1.2909390077,1.40536387
P-1/V,pv,17,ideal-gas-seed-04-pv-04,4,128,17,4913,0.000203541624,0.6,6,20,0.01,0.8,0.0170066904,0.0156956807,8.3526782,0.6024443695,200,0.5500436895,1.1813673905,1.2845742753
P-1/V,pv,17,ideal-gas-seed-05-pv-04,5,128,17,4913,0.000203541624,0.6,6,20,0.01,0.8,0.0134052857,0.015996764,-16.20001556,0.6140007924,200,0.5952451063,1.2564853475,1.3363140795
P-1/V,pv,19,ideal-gas-seed-01-pv-05,1,128,19,6859,0.000145793847,0.6,6,20,0.01,0.8,0.0116526827,0.0112513416,3.56705097,0.6029136858,200,0.6180449548,1.2472556447,1.3616662089
P-1/V,pv,19,ideal-gas-seed-02-pv-05,2,128,19,6859,0.000145793847,0.6,6,20,0.01,0.8,0.0106994789,0.0109871794,-2.61851118,0.5887583089,200,0.611645731,1.2330261073,1.3545985357
P-1/V,pv,19,ideal-gas-seed-03-pv-05,3,128,19,6859,0.000145793847,0.6,6,20,0.01,0.8,0.0118999313,0.0112020792,6.22966595,0.6002739136,200,0.5649003747,1.1921828422,1.3018068689
P-1/V,pv,19,ideal-gas-seed-04-pv-05,4,128,19,6859,0.000145793847,0.6,6,20,0.01,0.8,0.0103148037,0.0108976952,-5.34876004,0.5839632151,200,0.644478646,1.2477600161,1.3904804701
P-1/V,pv,19,ideal-gas-seed-05-pv-05,5,128,19,6859,0.000145793847,0.6,6,20,0.01,0.8,0.0129910721,0.0114437147,13.52146075,0.6132221815,200,0.5419984599,1.1815939171,1.2751452387
P-1/V,pv,21,ideal-gas-seed-01-pv-06,1,128,21,9261,0.0001079797,0.6,6,20,0.01,0.8,0.0084390418,0.0083955919,0.51753123,0.6074341951,200,0.5739880473,1.189319337,1.3122363133
P-1/V,pv,21,ideal-gas-seed-02-pv-06,2,128,21,9261,0.0001079797,0.6,6,20,0.01,0.8,0.0080928432,0.0081844626,-1.1194304,0.5921586543,200,0.6191280435,1.264463216,1.362858808
P-1/V,pv,21,ideal-gas-seed-03-pv-06,3,128,21,9261,0.0001079797,0.6,6,20,0.01,0.8,0.0084535747,0.008249641,2.47203144,0.5968744183,200,0.6557297707,1.2941164254,1.4025652612
P-1/V,pv,21,ideal-gas-seed-04-pv-06,4,128,21,9261,0.0001079797,0.6,6,20,0.01,0.8,0.0080011915,0.0081664802,-2.02399015,0.5908576057,200,0.6551735525,1.2849220575,1.4019702769
P-1/V,pv,21,ideal-gas-seed-05-pv-06,5,128,21,9261,0.0001079797,0.6,6,20,0.01,0.8,0.0091079349,0.0084223049,8.14064486,0.6093669226,200,0.6326969726,1.2633987194,1.3777122042
P-N,pn,80,ideal-gas-seed-01-pn-01,1,80,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0325412907,0.0285183603,14.10645733,0.615996583,200,0.5620119489,1.2143550266,1.2984744305
P-N,pn,80,ideal-gas-seed-02-pn-01,2,80,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0254195083,0.0275572217,-7.75736194,0.5952359897,200,0.63713435,1.2647405011,1.3825350086
P-N,pn,80,ideal-gas-seed-03-pn-01,3,80,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0327413951,0.0302381104,8.27857542,0.6531431838,200,0.6363416372,1.2537525442,1.3816746765
P-N,pn,80,ideal-gas-seed-04-pn-01,4,80,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0287891462,0.0279585278,2.9708945,0.6039042012,200,0.6910417188,1.3086760727,1.4398351143
P-N,pn,80,ideal-gas-seed-05-pn-01,5,80,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0321018233,0.0285530665,12.42863644,0.6167462365,200,0.5606814129,1.2042175752,1.2969364822
P-N,pn,120,ideal-gas-seed-01-pn-02,1,120,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0471545338,0.0419196455,12.48791149,0.6036428955,200,0.4999437902,1.1455319349,1.2246760268
P-N,pn,120,ideal-gas-seed-02-pn-02,2,120,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0416670982,0.0410484901,1.50701789,0.5910982569,200,0.6170377484,1.2467630923,1.3605562264
P-N,pn,120,ideal-gas-seed-03-pn-02,3,120,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0423374018,0.0396416694,6.80024943,0.5708400397,200,0.5705914228,1.2077785084,1.3083479157
P-N,pn,120,ideal-gas-seed-04-pn-02,4,120,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0447943291,0.0426954533,4.91592351,0.6148145274,200,0.5957607016,1.2456724857,1.3368927051
P-N,pn,120,ideal-gas-seed-05-pn-02,5,120,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0384758477,0.042076791,-8.55802732,0.6059057902,200,0.5293040162,1.1736651497,1.2601238227
P-N,pn,160,ideal-gas-seed-01-pn-03,1,160,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0560191341,0.0561087195,-0.15966391,0.6059741702,200,0.6087267902,1.2637131397,1.3513624127
P-N,pn,160,ideal-gas-seed-02-pn-03,2,160,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0559202576,0.0565194189,-1.06009819,0.6104097246,200,0.6230819931,1.2565369255,1.367203708
P-N,pn,160,ideal-gas-seed-03-pn-03,3,160,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0539688397,0.054000555,-0.05873151,0.5832059945,200,0.620739798,1.2437954857,1.3646315964
P-N,pn,160,ideal-gas-seed-04-pn-03,4,160,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0593284331,0.0562075093,5.55250325,0.6070411002,200,0.6244904955,1.2647572524,1.3687481458
P-N,pn,160,ideal-gas-seed-05-pn-03,5,160,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0616858836,0.0557162274,10.71439415,0.6017352556,200,0.6028956636,1.2289688081,1.3448743402
P-N,pn,200,ideal-gas-seed-01-pn-04,1,200,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0704193049,0.0686371116,2.59654473,0.5930246441,200,0.5785570884,1.2051196363,1.3174487713
P-N,pn,200,ideal-gas-seed-02-pn-04,2,200,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0676634078,0.0684392173,-1.13357448,0.5913148375,200,0.612680106,1.2475227651,1.3557434558
P-N,pn,200,ideal-gas-seed-03-pn-04,3,200,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0769360389,0.0698920529,10.07837905,0.603867337,200,0.6109524953,1.2488558142,1.353830671
P-N,pn,200,ideal-gas-seed-04-pn-04,4,200,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0718930533,0.0678112374,6.01937974,0.5858890911,200,0.63902808,1.2773333661,1.384588112
P-N,pn,200,ideal-gas-seed-05-pn-04,5,200,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0709423051,0.06610113,7.3238915,0.5711137634,200,0.60668595,1.2352178379,1.3490951967
P-N,pn,260,ideal-gas-seed-01-pn-05,1,260,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0917705959,0.0913577112,0.45194289,0.6071774035,200,0.7027643806,1.3429682244,1.4519962609
P-N,pn,260,ideal-gas-seed-02-pn-05,2,260,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0938914045,0.090212069,4.07854021,0.5995632892,200,0.5792762562,1.2082095196,1.3182673358
P-N,pn,260,ideal-gas-seed-03-pn-05,3,260,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0920184207,0.0887708409,3.65838574,0.5899846656,200,0.6333215934,1.257954607,1.3783920996
P-N,pn,260,ideal-gas-seed-04-pn-05,4,260,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.1018577885,0.0912777723,11.59101047,0.6066461175,200,0.5685930274,1.1993549803,1.3060547777
P-N,pn,260,ideal-gas-seed-05-pn-05,5,260,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.0923059048,0.0891201826,3.57463609,0.5923064442,200,0.5672290576,1.2024025292,1.3044873218
P-N,pn,320,ideal-gas-seed-01-pn-06,1,320,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.1169790112,0.1098369196,6.50245081,0.5931193657,200,0.5700808803,1.2034088625,1.3077624558
P-N,pn,320,ideal-gas-seed-02-pn-06,2,320,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.112717126,0.1091654849,3.25344697,0.5894936184,200,0.5820414615,1.2209669933,1.3214099987
P-N,pn,320,ideal-gas-seed-03-pn-06,3,320,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.1114545548,0.1103186259,1.02968008,0.5957205797,200,0.587224648,1.2347107259,1.3272806576
P-N,pn,320,ideal-gas-seed-04-pn-06,4,320,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.111187217,0.1096500273,1.40190548,0.5921101474,200,0.6057585182,1.2442344027,1.3480636315
P-N,pn,320,ideal-gas-seed-05-pn-06,5,320,12,1728,0.000578703704,0.6,6,20,0.01,0.8,0.1106648467,0.110386525,0.2521337,0.5960872351,200,0.6242962602,1.2612292338,1.3685352683
